2025-03-30 02:19:50 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/about.php"}
2025-03-30 02:19:50 {"type":"pageview","url":"\/projectJacco\/project\/about.php"}
2025-03-30 02:20:50 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/products.php"}
2025-03-30 02:20:50 {"type":"pageview","url":"\/projectJacco\/project\/products.php"}
2025-03-30 02:21:17 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/contact.php"}
2025-03-30 02:21:17 {"type":"pageview","url":"\/projectJacco\/project\/contact.php"}
2025-03-30 02:21:51 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:21:51 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:21:51 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:21:51 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:21:52 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:21:52 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:21:52 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:21:52 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:21:52 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:21:52 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:21:52 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:21:52 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:21:53 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:21:53 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:21:53 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:21:53 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:21:53 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:21:53 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:21:53 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:21:53 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:21:54 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:21:54 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:21:54 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:21:54 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:21:54 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:21:54 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:21:54 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:21:54 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:21:57 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:21:57 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:21:57 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:21:57 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:21:57 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:21:57 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:21:58 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:21:58 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:21:58 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:21:58 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:21:58 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:21:58 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:21:58 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:21:58 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:21:58 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:21:58 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:21:59 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:21:59 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:21:59 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:21:59 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:21:59 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:21:59 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:21:59 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:21:59 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:21:59 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:21:59 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:21:59 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:21:59 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:00 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:00 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:00 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:00 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:00 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:00 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:00 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:00 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:00 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:00 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:01 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:01 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:01 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:01 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:01 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:01 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:01 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:01 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:01 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:01 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:02 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:02 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:02 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:02 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:02 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:02 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:02 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:02 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:05 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:05 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:05 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:05 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:05 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:05 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:05 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:05 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:05 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:05 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:06 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:06 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:06 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:06 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:06 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:06 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:06 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:06 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:06 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:06 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:07 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:07 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:07 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:07 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:07 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:07 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:07 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:07 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:07 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:07 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:08 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:08 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:08 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:08 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:08 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:08 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:08 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:08 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:11 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:11 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:11 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:11 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:11 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:11 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:11 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:11 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:12 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:12 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:12 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:12 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:14 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:14 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:14 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:14 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:14 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:14 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:14 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:14 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:15 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:15 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:15 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:15 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:24 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:24 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:24 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:24 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:24 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:24 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:26 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:26 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:27 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:27 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:27 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:27 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:27 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:27 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:27 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:51 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:51 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:52 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:52 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:52 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
2025-03-30 02:22:52 {"type":"pageview","url":"\/projectJacco\/project\/index.php"}
2025-03-30 02:22:52 {"type":"click","target":"http:\/\/projectjacco.test\/projectJacco\/project\/index.php"}
